Type,StartDate,Maturity,MarketQuote
dg,2025-12-15,2025-12-16,5.7
sw,2025-12-17,2025-12-26,5.6925
sw,2025-12-17,2026-01-21,5.5555
sw,2025-12-17,2026-02-19,5.514
sw,2025-12-17,2026-03-19,5.4955
sw,2025-12-17,2026-06-19,5.387
sw,2025-12-17,2026-09-21,5.296
sw,2025-12-17,2026-12-21,5.2305
sw,2025-12-17,2026-12-21,5.0955
sw,2025-12-17,2027-12-21,5.028
sw,2025-12-17,2028-12-20,4.931
sw,2025-12-17,2029-12-19,4.8685
sw,2025-12-17,2030-12-19,4.8305
sw,2025-12-17,2031-12-19,4.8135
sw,2025-12-17,2032-12-21,4.8045
sw,2025-12-17,2033-12-21,4.8025
sw,2025-12-17,2034-12-20,4.8045
sw,2025-12-17,2035-12-19,4.8105
sw,2025-12-17,2037-12-21,4.8295
sw,2025-12-17,2040-12-19,4.8525
sw,2025-12-17,2045-12-20,4.8385
sw,2025-12-17,2050-12-21,4.7635
sw,2025-12-17,2055-12-21,4.6735
sw,2025-12-17,2065-12-21,4.474
sw,2025-12-17,2075-12-19,4.274
