Term,Rate,PriceDate,NBD,StartDate,EndDate,PayDate
0.0027397260273972603,5.699554977839247,20260120,0,20260120,20260121,20260121
0.0273972602739726,5.760681152343751,20260120,2,20260121,20260130,20260130
0.17534246575342466,5.606922149658203,20260120,2,20260121,20260323,20260325
0.2547945205479452,5.5531535148620605,20260120,2,20260121,20260421,20260423
0.3424657534246575,5.521186590194701,20260120,2,20260121,20260521,20260525
0.5945205479452055,5.376901745796203,20260120,2,20260121,20260821,20260825
0.8465753424657534,5.252910852432249,20260120,2,20260121,20261123,20261125
1.0136986301369864,5.167315125465392,20260120,2,20260121,20270121,20270125
1.0136986301369864,5.037672162055968,20260120,2,20260121,20270121,20270125
2.0136986301369864,4.967162132263184,20260120,2,20260121,20280121,20280125
3.0136986301369864,4.870365619659423,20260120,2,20260121,20290122,20290124
4.010958904109589,4.807756125926971,20260120,2,20260121,20300122,20300123
5.010958904109589,4.7694095969200125,20260120,2,20260121,20310121,20310123
6.010958904109589,4.752974718809128,20260120,2,20260121,20320121,20320123
7.019178082191781,4.744584262371062,20260120,2,20260121,20330121,20330125
8.01917808219178,4.743762493133544,20260120,2,20260121,20340123,20340125
9.016438356164384,4.7473446875810605,20260120,2,20260121,20350122,20350124
10.013698630136986,4.755483090877533,20260120,2,20260121,20360122,20360123
12.021917808219179,4.780361369252205,20260120,2,20260121,20380121,20380125
15.01917808219178,4.8106733560562125,20260120,2,20260121,20410122,20410123
20.024657534246575,4.7882905304431915,20260120,2,20260121,20460122,20460124
25.03013698630137,4.665107473731041,20260120,2,20260121,20510123,20510125
30.03287671232877,4.508820593357085,20260120,2,20260121,20560121,20560125
40.04109589041096,4.13671137392521,20260120,2,20260121,20660121,20660125
50.04109589041096,3.7403379231691374,20260120,2,20260121,20760121,20760123
