Type,StartDate,Maturity,MarketQuote
dg,2026-02-02,2026-02-03,4.6
sw,2026-02-03,2026-02-12,4.5925
sw,2026-02-03,2026-04-07,4.4555
sw,2026-02-03,2026-05-06,4.414
sw,2026-02-03,2026-06-05,4.3955
sw,2026-02-03,2026-09-07,4.287
sw,2026-02-03,2026-12-07,4.196
sw,2026-02-03,2027-02-05,4.1305
sw,2026-02-03,2027-02-05,3.9955
sw,2026-02-03,2028-02-07,3.928
sw,2026-02-03,2029-02-07,3.831
sw,2026-02-03,2030-02-06,3.7685
sw,2026-02-03,2031-02-05,3.7305
sw,2026-02-03,2032-02-05,3.7135
sw,2026-02-03,2033-02-07,3.7045
sw,2026-02-03,2034-02-07,3.7025
sw,2026-02-03,2035-02-07,3.7045
sw,2026-02-03,2036-02-06,3.7105
sw,2026-02-03,2038-02-05,3.7295
sw,2026-02-03,2041-02-06,3.7525
sw,2026-02-03,2046-02-07,3.7385
sw,2026-02-03,2051-02-07,3.6635
sw,2026-02-03,2056-02-07,3.5735
sw,2026-02-03,2066-02-05,3.374
sw,2026-02-03,2076-02-05,3.174
