Type,StartDate,Maturity,MarketQuote
dg,2026-01-15,2026-01-16,5.7
sw,2026-01-19,2026-01-28,5.6925
sw,2026-01-19,2026-03-23,5.5555
sw,2026-01-19,2026-04-22,5.514
sw,2026-01-19,2026-05-21,5.4955
sw,2026-01-19,2026-08-21,5.387
sw,2026-01-19,2026-11-23,5.296
sw,2026-01-19,2027-01-21,5.2305
sw,2026-01-19,2027-01-21,5.0955
sw,2026-01-19,2028-01-21,5.028
sw,2026-01-19,2029-01-23,4.931
sw,2026-01-19,2030-01-23,4.8685
sw,2026-01-19,2031-01-22,4.8305
sw,2026-01-19,2032-01-21,4.8135
sw,2026-01-19,2033-01-21,4.8045
sw,2026-01-19,2034-01-23,4.8025
sw,2026-01-19,2035-01-23,4.8045
sw,2026-01-19,2036-01-23,4.8105
sw,2026-01-19,2038-01-21,4.8295
sw,2026-01-19,2041-01-23,4.8525
sw,2026-01-19,2046-01-23,4.8385
sw,2026-01-19,2051-01-23,4.7635
sw,2026-01-19,2056-01-21,4.6735
sw,2026-01-19,2066-01-21,4.474
sw,2026-01-19,2076-01-22,4.274
