Type,StartDate,Maturity,MarketQuote
sp,2026-01-19,2026-01-20,0.0
sp,2026-01-20,2026-01-21,0.0
sp,2026-01-21,2026-01-28,-35.0
sp,2026-01-21,2026-02-23,-175.0
sp,2026-01-21,2026-04-21,-370.0
sp,2026-01-21,2026-04-21,-570.0
sp,2026-01-21,2026-07-21,-1300.0
sp,2026-01-21,2027-01-21,-2790.0
sw,2026-01-21,2027-01-21,2.035
sw,2026-01-21,2028-01-21,1.965
sw,2026-01-21,2029-01-22,1.925
sw,2026-01-21,2030-01-21,1.89
sw,2026-01-21,2031-01-21,1.875
sw,2026-01-21,2032-01-21,1.88
sw,2026-01-21,2033-01-21,1.885
sw,2026-01-21,2034-01-23,1.885
sw,2026-01-21,2035-01-22,1.88
sw,2026-01-21,2036-01-21,1.9
sw,2026-01-21,2037-01-21,1.9
sw,2026-01-21,2038-01-21,1.88
sw,2026-01-21,2041-01-21,1.84
sw,2026-01-21,2046-01-22,1.77
