Type,StartDate,Maturity,MarketQuote
sp,2025-12-26,2025-12-29,0.0
sp,2025-12-29,2025-12-30,0.0
sp,2025-12-30,2026-01-06,-35.0
sp,2025-12-30,2026-01-30,-175.0
sp,2025-12-30,2026-03-02,-370.0
sp,2025-12-30,2026-03-30,-570.0
sp,2025-12-30,2026-06-30,-1300.0
sp,2025-12-30,2026-12-30,-2790.0
sw,2025-12-30,2026-12-30,2.035
sw,2025-12-30,2027-12-30,1.965
sw,2025-12-30,2029-01-01,1.925
sw,2025-12-30,2029-12-31,1.89
sw,2025-12-30,2030-12-30,1.875
sw,2025-12-30,2031-12-30,1.88
sw,2025-12-30,2032-12-30,1.885
sw,2025-12-30,2033-12-30,1.885
sw,2025-12-30,2035-01-01,1.88
sw,2025-12-30,2035-12-31,1.9
sw,2025-12-30,2036-12-30,1.9
sw,2025-12-30,2037-12-30,1.88
sw,2025-12-30,2040-12-31,1.84
sw,2025-12-30,2046-01-01,1.77
