Type,StartDate,Maturity,MarketQuote
sp,2025-12-01,2025-12-02,0.0
sp,2025-12-02,2025-12-03,0.0
sp,2025-12-03,2025-12-10,-35.0
sp,2025-12-03,2026-01-05,-175.0
sp,2025-12-03,2026-02-03,-370.0
sp,2025-12-03,2026-03-03,-570.0
sp,2025-12-03,2026-06-03,-1300.0
sp,2025-12-03,2026-12-03,-2790.0
sw,2025-12-03,2026-12-03,2.035
sw,2025-12-03,2027-12-03,1.965
sw,2025-12-03,2028-12-04,1.925
sw,2025-12-03,2029-12-03,1.89
sw,2025-12-03,2030-12-03,1.875
sw,2025-12-03,2031-12-03,1.88
sw,2025-12-03,2032-12-03,1.885
sw,2025-12-03,2033-12-05,1.885
sw,2025-12-03,2034-12-04,1.88
sw,2025-12-03,2035-12-03,1.9
sw,2025-12-03,2036-12-03,1.9
sw,2025-12-03,2037-12-03,1.88
sw,2025-12-03,2040-12-03,1.84
sw,2025-12-03,2045-12-04,1.77
