Type,StartDate,Maturity,MarketQuote
dg,2026-01-21,2026-01-22,4.6
sw,2026-01-22,2026-02-02,4.5925
sw,2026-01-22,2026-03-25,4.4555
sw,2026-01-22,2026-04-24,4.414
sw,2026-01-22,2026-05-26,4.3955
sw,2026-01-22,2026-08-26,4.287
sw,2026-01-22,2026-11-25,4.196
sw,2026-01-22,2027-01-26,4.1305
sw,2026-01-22,2027-01-26,3.9955
sw,2026-01-22,2028-01-26,3.928
sw,2026-01-22,2029-01-24,3.831
sw,2026-01-22,2030-01-24,3.7685
sw,2026-01-22,2031-01-24,3.7305
sw,2026-01-22,2032-01-26,3.7135
sw,2026-01-22,2033-01-26,3.7045
sw,2026-01-22,2034-01-25,3.7025
sw,2026-01-22,2035-01-24,3.7045
sw,2026-01-22,2036-01-24,3.7105
sw,2026-01-22,2038-01-26,3.7295
sw,2026-01-22,2041-01-24,3.7525
sw,2026-01-22,2046-01-24,3.7385
sw,2026-01-22,2051-01-25,3.6635
sw,2026-01-22,2056-01-26,3.5735
sw,2026-01-22,2066-01-26,3.374
sw,2026-01-22,2076-01-24,3.174
