Type,StartDate,Maturity,MarketQuote
dg,2025-12-03,2025-12-04,5.7
sw,2025-12-05,2025-12-16,5.6925
sw,2025-12-05,2026-01-07,5.5555
sw,2025-12-05,2026-02-09,5.514
sw,2025-12-05,2026-03-09,5.4955
sw,2025-12-05,2026-06-09,5.387
sw,2025-12-05,2026-09-09,5.296
sw,2025-12-05,2026-12-09,5.2305
sw,2025-12-05,2026-12-09,5.0955
sw,2025-12-05,2027-12-08,5.028
sw,2025-12-05,2028-12-07,4.931
sw,2025-12-05,2029-12-07,4.8685
sw,2025-12-05,2030-12-09,4.8305
sw,2025-12-05,2031-12-09,4.8135
sw,2025-12-05,2032-12-08,4.8045
sw,2025-12-05,2033-12-07,4.8025
sw,2025-12-05,2034-12-07,4.8045
sw,2025-12-05,2035-12-07,4.8105
sw,2025-12-05,2037-12-09,4.8295
sw,2025-12-05,2040-12-07,4.8525
sw,2025-12-05,2045-12-07,4.8385
sw,2025-12-05,2050-12-07,4.7635
sw,2025-12-05,2055-12-08,4.6735
sw,2025-12-05,2065-12-09,4.474
sw,2025-12-05,2075-12-09,4.274
