Type,StartDate,Maturity,MarketQuote
sp,2025-12-12,2025-12-15,0.0
sp,2025-12-15,2025-12-16,0.0
sp,2025-12-16,2025-12-23,-35.0
sp,2025-12-16,2026-01-16,-175.0
sp,2025-12-16,2026-02-16,-370.0
sp,2025-12-16,2026-03-16,-570.0
sp,2025-12-16,2026-06-16,-1300.0
sp,2025-12-16,2026-12-16,-2790.0
sw,2025-12-16,2026-12-16,2.035
sw,2025-12-16,2027-12-16,1.965
sw,2025-12-16,2028-12-18,1.925
sw,2025-12-16,2029-12-17,1.89
sw,2025-12-16,2030-12-16,1.875
sw,2025-12-16,2031-12-16,1.88
sw,2025-12-16,2032-12-16,1.885
sw,2025-12-16,2033-12-16,1.885
sw,2025-12-16,2034-12-18,1.88
sw,2025-12-16,2035-12-17,1.9
sw,2025-12-16,2036-12-16,1.9
sw,2025-12-16,2037-12-16,1.88
sw,2025-12-16,2040-12-17,1.84
sw,2025-12-16,2045-12-18,1.77
