Type,StartDate,Maturity,MarketQuote
dg,2026-02-13,2026-02-19,2.54
dg,2026-02-19,2026-05-19,2.78
sw,2026-02-19,2027-02-19,2.89
sw,2026-02-19,2028-02-21,3.0725
sw,2026-02-19,2029-02-19,3.1875
sw,2026-02-19,2030-02-19,3.26
sw,2026-02-19,2031-02-19,3.3125
sw,2026-02-19,2033-02-21,3.385
sw,2026-02-19,2036-02-19,3.4425
