NRate : 12
InputPD : 0.025360, 0.244749, 0.325084, 0.676802, 1.211571, 2.639254, 5.040096, 8.518815, 12.828611, 19.525252, 38.556765, 79.483119
MinPD : 0.030000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
MatrixReshaped : 1514682.000000, 391570.000000, 37364.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
MatrixReshaped : 1090406.000000, 4032386.000000, 331322.000000, 91137.000000, 40720.000000, 16091.000000, 12964.000000, 10459.000000, 6608.000000, 0.000000, 0.000000, 0.000000
MatrixReshaped : 417748.000000, 342996.000000, 2948259.000000, 684049.000000, 161355.000000, 28002.000000, 28545.000000, 17984.000000, 0.000000, 0.000000, 0.000000, 0.000000
MatrixReshaped : 114319.000000, 129205.000000, 236898.000000, 2149146.000000, 194204.000000, 102725.000000, 38756.000000, 22128.000000, 0.000000, 0.000000, 0.000000, 0.000000
MatrixReshaped : 29728.000000, 9779.000000, 76383.000000, 125381.000000, 1131881.000000, 397284.000000, 49450.000000, 25836.000000, 0.000000, 0.000000, 0.000000, 0.000000
MatrixReshaped : 6576.000000, 656.000000, 13150.000000, 18523.000000, 75057.000000, 684575.000000, 139721.000000, 21520.000000, 22181.000000, 0.000000, 0.000000, 0.000000
MatrixReshaped : 0.000000, 0.000000, 510.000000, 4893.000000, 20906.000000, 126000.000000, 257192.000000, 230159.000000, 62449.000000, 28460.000000, 4322.000000, 1336.000000
MatrixReshaped : 0.000000, 0.000000, 5.000000, 130.000000, 537.000000, 2584.000000, 6241.000000, 21618.000000, 8103.000000, 4125.000000, 587.000000, 246.000000
MatrixReshaped : 0.000000, 0.000000, 0.000000, 89.000000, 351.000000, 1373.000000, 4003.000000, 13596.000000, 35052.000000, 18419.000000, 3476.000000, 1225.000000
MatrixReshaped : 0.000000, 0.000000, 0.000000, 7.000000, 27.000000, 87.000000, 312.000000, 1031.000000, 2680.000000, 7526.000000, 2009.000000, 693.000000
MatrixReshaped : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 375.000000, 66.000000
MatrixReshaped : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 149.000000
