Type,StartDate,Maturity,MarketQuote
dg,2026-01-05,2026-01-06,5.7
sw,2026-01-07,2026-01-16,5.6925
sw,2026-01-07,2026-03-11,5.5555
sw,2026-01-07,2026-04-09,5.514
sw,2026-01-07,2026-05-11,5.4955
sw,2026-01-07,2026-08-11,5.387
sw,2026-01-07,2026-11-11,5.296
sw,2026-01-07,2027-01-11,5.2305
sw,2026-01-07,2027-01-11,5.0955
sw,2026-01-07,2028-01-11,5.028
sw,2026-01-07,2029-01-10,4.931
sw,2026-01-07,2030-01-09,4.8685
sw,2026-01-07,2031-01-09,4.8305
sw,2026-01-07,2032-01-09,4.8135
sw,2026-01-07,2033-01-11,4.8045
sw,2026-01-07,2034-01-11,4.8025
sw,2026-01-07,2035-01-10,4.8045
sw,2026-01-07,2036-01-09,4.8105
sw,2026-01-07,2038-01-11,4.8295
sw,2026-01-07,2041-01-09,4.8525
sw,2026-01-07,2046-01-10,4.8385
sw,2026-01-07,2051-01-11,4.7635
sw,2026-01-07,2056-01-11,4.6735
sw,2026-01-07,2066-01-11,4.474
sw,2026-01-07,2076-01-09,4.274
