Moneyness/Tenor,0.333333333,0.666666667,1,1.333333333,1.666666667,2,2.333333333,2.666666667,3,3.333333333
0.5,0.9908321907959508,0.9832250227502908,0.9776209598391624,0.9710172057125536,0.9646103622230572,0.9585689815328352,0.952635669535018,0.9463852121697678,0.9396630031935692,0.933955180637619
0.6,0.6610493097342857,0.6570639751012131,0.6555747826459104,0.6520280382073868,0.648542756793695,0.645194563111485,0.6422557858849733,0.6392820164610771,0.6354703112913704,0.6329630984343407
0.7,0.4259655517977598,0.4256099914144103,0.4270174573692303,0.4266171315915394,0.4261071190534352,0.4252117071789612,0.4251320485826918,0.4252230702087907,0.4245767800608434,0.4249222410912899
0.8,0.2511978612074714,0.2552934679976498,0.259894996777826,0.2628651915869445,0.2655581449736157,0.2674253869714041,0.2704834417661752,0.2735226381821392,0.275568300227915,0.2785313360380263
0.9,0.1196540088903086,0.129559250860028,0.1369485557668666,0.144382935036216,0.1510149827884978,0.1558619673318134,0.1618588556482781,0.1674320534402614,0.1716948749210788,0.1768035762895095
1.0,0.0304906775287983,0.0450651025563257,0.0553907499485244,0.0655073768304188,0.0744026108418161,0.0812472880383315,0.0890486796505173,0.0961291675443346,0.1017005594097576,0.107855215229887
1.1,0.0913609732075547,0.0962262902913258,0.1042933455685572,0.1109771587587691,0.1174345855046842,0.123618020507482,0.1302944933177686,0.1365484389118409,0.1419060779603194,0.1471044974546614
1.2,0.1651520616301882,0.1642554908371726,0.1654762614293888,0.167432231499113,0.1703180343088101,0.1739967954309396,0.1782233133224901,0.1825689535194053,0.1866887846580774,0.1903775167743905
1.3,0.2286270835016801,0.2267027001387395,0.2252292824110435,0.2245604242251117,0.2247905269362646,0.2255582356754884,0.2272904977232615,0.2295937686183705,0.2320648646160862,0.2342295169180428
