Type,StartDate,Maturity,MarketQuote
dg,2026-01-06,2026-01-07,5.7
sw,2026-01-08,2026-01-19,5.6925
sw,2026-01-08,2026-03-11,5.5555
sw,2026-01-08,2026-04-10,5.514
sw,2026-01-08,2026-05-12,5.4955
sw,2026-01-08,2026-08-12,5.387
sw,2026-01-08,2026-11-11,5.296
sw,2026-01-08,2027-01-12,5.2305
sw,2026-01-08,2027-01-12,5.0955
sw,2026-01-08,2028-01-12,5.028
sw,2026-01-08,2029-01-10,4.931
sw,2026-01-08,2030-01-10,4.8685
sw,2026-01-08,2031-01-10,4.8305
sw,2026-01-08,2032-01-12,4.8135
sw,2026-01-08,2033-01-12,4.8045
sw,2026-01-08,2034-01-11,4.8025
sw,2026-01-08,2035-01-10,4.8045
sw,2026-01-08,2036-01-10,4.8105
sw,2026-01-08,2038-01-12,4.8295
sw,2026-01-08,2041-01-10,4.8525
sw,2026-01-08,2046-01-10,4.8385
sw,2026-01-08,2051-01-11,4.7635
sw,2026-01-08,2056-01-12,4.6735
sw,2026-01-08,2066-01-12,4.474
sw,2026-01-08,2076-01-10,4.274
