CCI : -2.421000, -2.421000, -2.421000
Beta : 0.160000
SizeMatrix : 12
TM_Reshaped : 0.779113, 0.201414, 0.019219, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
TM_Reshaped : 0.193132, 0.714213, 0.058684, 0.016142, 0.007212, 0.002850, 0.002296, 0.001852, 0.001170, 0.000000, 0.000000, 0.000000
TM_Reshaped : 0.089954, 0.073857, 0.634848, 0.147296, 0.034745, 0.006030, 0.006147, 0.003873, 0.000000, 0.000000, 0.000000, 0.000000
TM_Reshaped : 0.038008, 0.042958, 0.078763, 0.714538, 0.064568, 0.034154, 0.012885, 0.007357, 0.000000, 0.000000, 0.000000, 0.000000
TM_Reshaped : 0.015912, 0.005234, 0.040883, 0.067108, 0.605815, 0.212638, 0.026467, 0.013828, 0.000000, 0.000000, 0.000000, 0.000000
TM_Reshaped : 0.006520, 0.000651, 0.013038, 0.018366, 0.074419, 0.678750, 0.138532, 0.021338, 0.021993, 0.000000, 0.000000, 0.000000
TM_Reshaped : 0.000000, 0.000000, 0.000659, 0.006312, 0.026965, 0.162517, 0.331729, 0.296862, 0.080548, 0.036708, 0.005575, 0.001724
TM_Reshaped : 0.000000, 0.000000, 0.000107, 0.002712, 0.011139, 0.053506, 0.129243, 0.447629, 0.167782, 0.085419, 0.012172, 0.005102
TM_Reshaped : 0.000000, 0.000000, 0.000000, 0.001004, 0.003951, 0.015430, 0.044980, 0.152758, 0.393821, 0.206943, 0.039062, 0.013765
TM_Reshaped : 0.000000, 0.000000, 0.000000, 0.000405, 0.001542, 0.004923, 0.017477, 0.057747, 0.150024, 0.421336, 0.112484, 0.038809
TM_Reshaped : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.521513, 0.092919
TM_Reshaped : 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.205169
