Term,Rate,PriceDate,NBD,StartDate,EndDate,PayDate
0.0027397260273972603,3.6998124784252675,20241210,0,20241210,20241211,20241211
0.021917808219178082,3.7250597667206833,20241210,0,20241211,20241218,20241218
0.08767123287671233,3.7909414624243394,20241210,0,20241211,20250111,20250111
0.2493150684931507,3.8107949763449396,20241210,0,20241211,20250311,20250311
0.5013698630136987,3.9060576162706155,20241210,0,20241211,20250611,20250611
1.0027397260273974,3.8176599740982047,20241210,0,20241211,20251211,20251211
1.5013698630136987,3.7262824773788457,20241210,0,20241211,20260611,20260611
2.0027397260273974,3.6602106094360347,20241210,0,20241211,20261211,20261211
3.0027397260273974,3.522662550210953,20241210,0,20241211,20271211,20271211
5.005479452054795,3.454825550317765,20241210,0,20241211,20291211,20291211
10.008219178082191,3.3526581525802617,20241210,0,20241211,20341211,20341211
