Type,StartDate,Maturity,MarketQuote
dg,2026-01-26,2026-01-27,4.6
sw,2026-01-27,2026-02-05,4.5925
sw,2026-01-27,2026-03-31,4.4555
sw,2026-01-27,2026-04-29,4.414
sw,2026-01-27,2026-05-29,4.3955
sw,2026-01-27,2026-08-31,4.287
sw,2026-01-27,2026-12-01,4.196
sw,2026-01-27,2027-01-29,4.1305
sw,2026-01-27,2027-01-29,3.9955
sw,2026-01-27,2028-01-31,3.928
sw,2026-01-27,2029-01-31,3.831
sw,2026-01-27,2030-01-30,3.7685
sw,2026-01-27,2031-01-29,3.7305
sw,2026-01-27,2032-01-29,3.7135
sw,2026-01-27,2033-01-31,3.7045
sw,2026-01-27,2034-01-31,3.7025
sw,2026-01-27,2035-01-31,3.7045
sw,2026-01-27,2036-01-30,3.7105
sw,2026-01-27,2038-01-29,3.7295
sw,2026-01-27,2041-01-30,3.7525
sw,2026-01-27,2046-01-31,3.7385
sw,2026-01-27,2051-01-31,3.6635
sw,2026-01-27,2056-01-31,3.5735
sw,2026-01-27,2066-01-29,3.374
sw,2026-01-27,2076-01-29,3.174
