Type,StartDate,Maturity,MarketQuote
dg,2025-12-10,2025-12-11,4.6
sw,2025-12-12,2025-12-23,4.5925
sw,2025-12-12,2026-01-14,4.4555
sw,2025-12-12,2026-02-16,4.414
sw,2025-12-12,2026-03-16,4.3955
sw,2025-12-12,2026-06-16,4.287
sw,2025-12-12,2026-09-16,4.196
sw,2025-12-12,2026-12-16,4.1305
sw,2025-12-12,2026-12-16,3.9955
sw,2025-12-12,2027-12-15,3.928
sw,2025-12-12,2028-12-14,3.831
sw,2025-12-12,2029-12-14,3.7685
sw,2025-12-12,2030-12-16,3.7305
sw,2025-12-12,2031-12-16,3.7135
sw,2025-12-12,2032-12-15,3.7045
sw,2025-12-12,2033-12-14,3.7025
sw,2025-12-12,2034-12-14,3.7045
sw,2025-12-12,2035-12-14,3.7105
sw,2025-12-12,2037-12-16,3.7295
sw,2025-12-12,2040-12-14,3.7525
sw,2025-12-12,2045-12-14,3.7385
sw,2025-12-12,2050-12-14,3.6635
sw,2025-12-12,2055-12-15,3.5735
sw,2025-12-12,2065-12-16,3.374
sw,2025-12-12,2075-12-16,3.174
