Type,StartDate,Maturity,MarketQuote
sp,2026-01-30,2026-02-02,0.0
sp,2026-02-02,2026-02-03,0.0
sp,2026-02-03,2026-02-10,-35.0
sp,2026-02-03,2026-03-03,-175.0
sp,2026-02-03,2026-05-04,-370.0
sp,2026-02-03,2026-05-04,-570.0
sp,2026-02-03,2026-08-03,-1300.0
sp,2026-02-03,2027-02-03,-2790.0
sw,2026-02-03,2027-02-03,2.035
sw,2026-02-03,2028-02-03,1.965
sw,2026-02-03,2029-02-05,1.925
sw,2026-02-03,2030-02-04,1.89
sw,2026-02-03,2031-02-03,1.875
sw,2026-02-03,2032-02-03,1.88
sw,2026-02-03,2033-02-03,1.885
sw,2026-02-03,2034-02-03,1.885
sw,2026-02-03,2035-02-05,1.88
sw,2026-02-03,2036-02-04,1.9
sw,2026-02-03,2037-02-03,1.9
sw,2026-02-03,2038-02-03,1.88
sw,2026-02-03,2041-02-04,1.84
sw,2026-02-03,2046-02-05,1.77
