Type,StartDate,Maturity,MarketQuote
dg,2026-01-22,2026-01-23,4.6
sw,2026-01-23,2026-02-03,4.5925
sw,2026-01-23,2026-03-25,4.4555
sw,2026-01-23,2026-04-27,4.414
sw,2026-01-23,2026-05-27,4.3955
sw,2026-01-23,2026-08-26,4.287
sw,2026-01-23,2026-11-25,4.196
sw,2026-01-23,2027-01-27,4.1305
sw,2026-01-23,2027-01-27,3.9955
sw,2026-01-23,2028-01-26,3.928
sw,2026-01-23,2029-01-25,3.831
sw,2026-01-23,2030-01-25,3.7685
sw,2026-01-23,2031-01-27,3.7305
sw,2026-01-23,2032-01-27,3.7135
sw,2026-01-23,2033-01-26,3.7045
sw,2026-01-23,2034-01-25,3.7025
sw,2026-01-23,2035-01-25,3.7045
sw,2026-01-23,2036-01-25,3.7105
sw,2026-01-23,2038-01-27,3.7295
sw,2026-01-23,2041-01-25,3.7525
sw,2026-01-23,2046-01-25,3.7385
sw,2026-01-23,2051-01-25,3.6635
sw,2026-01-23,2056-01-26,3.5735
sw,2026-01-23,2066-01-27,3.374
sw,2026-01-23,2076-01-27,3.174
