Type,StartDate,Maturity,MarketQuote
dg,2026-08-12,2026-08-13,5.7
sw,2026-08-13,2026-08-24,5.6925
sw,2026-08-13,2026-10-15,5.5555
sw,2026-08-13,2026-11-17,5.514
sw,2026-08-13,2026-12-16,5.4955
sw,2026-08-13,2027-03-17,5.387
sw,2026-08-13,2027-06-16,5.296
sw,2026-08-13,2027-08-17,5.2305
sw,2026-08-13,2027-08-17,5.0955
sw,2026-08-13,2028-08-16,5.028
sw,2026-08-13,2029-08-15,4.931
sw,2026-08-13,2030-08-15,4.8685
sw,2026-08-13,2031-08-15,4.8305
sw,2026-08-13,2032-08-17,4.8135
sw,2026-08-13,2033-08-17,4.8045
sw,2026-08-13,2034-08-16,4.8025
sw,2026-08-13,2035-08-15,4.8045
sw,2026-08-13,2036-08-15,4.8105
sw,2026-08-13,2038-08-17,4.8295
sw,2026-08-13,2041-08-15,4.8525
sw,2026-08-13,2046-08-15,4.8385
sw,2026-08-13,2051-08-16,4.7635
sw,2026-08-13,2056-08-16,4.6735
sw,2026-08-13,2066-08-17,4.474
sw,2026-08-13,2076-08-17,4.274
