Type,StartDate,Maturity,MarketQuote
dg,2026-08-10,2026-08-11,4.6
sw,2026-08-11,2026-08-20,4.5925
sw,2026-08-11,2026-10-14,4.4555
sw,2026-08-11,2026-11-13,4.414
sw,2026-08-11,2026-12-15,4.3955
sw,2026-08-11,2027-03-15,4.287
sw,2026-08-11,2027-06-15,4.196
sw,2026-08-11,2027-08-13,4.1305
sw,2026-08-11,2027-08-13,3.9955
sw,2026-08-11,2028-08-15,3.928
sw,2026-08-11,2029-08-15,3.831
sw,2026-08-11,2030-08-14,3.7685
sw,2026-08-11,2031-08-13,3.7305
sw,2026-08-11,2032-08-13,3.7135
sw,2026-08-11,2033-08-15,3.7045
sw,2026-08-11,2034-08-15,3.7025
sw,2026-08-11,2035-08-15,3.7045
sw,2026-08-11,2036-08-13,3.7105
sw,2026-08-11,2038-08-13,3.7295
sw,2026-08-11,2041-08-14,3.7525
sw,2026-08-11,2046-08-15,3.7385
sw,2026-08-11,2051-08-15,3.6635
sw,2026-08-11,2056-08-15,3.5735
sw,2026-08-11,2066-08-13,3.374
sw,2026-08-11,2076-08-13,3.174
