Type,StartDate,Maturity,MarketQuote
dg,2025-12-09,2025-12-10,5.7
sw,2025-12-11,2025-12-22,5.6925
sw,2025-12-11,2026-01-14,5.5555
sw,2025-12-11,2026-02-13,5.514
sw,2025-12-11,2026-03-13,5.4955
sw,2025-12-11,2026-06-15,5.387
sw,2025-12-11,2026-09-15,5.296
sw,2025-12-11,2026-12-15,5.2305
sw,2025-12-11,2026-12-15,5.0955
sw,2025-12-11,2027-12-15,5.028
sw,2025-12-11,2028-12-13,4.931
sw,2025-12-11,2029-12-13,4.8685
sw,2025-12-11,2030-12-13,4.8305
sw,2025-12-11,2031-12-15,4.8135
sw,2025-12-11,2032-12-15,4.8045
sw,2025-12-11,2033-12-14,4.8025
sw,2025-12-11,2034-12-13,4.8045
sw,2025-12-11,2035-12-13,4.8105
sw,2025-12-11,2037-12-15,4.8295
sw,2025-12-11,2040-12-13,4.8525
sw,2025-12-11,2045-12-13,4.8385
sw,2025-12-11,2050-12-14,4.7635
sw,2025-12-11,2055-12-15,4.6735
sw,2025-12-11,2065-12-15,4.474
sw,2025-12-11,2075-12-13,4.274
