Type,StartDate,Maturity,MarketQuote
dg,2026-01-12,2026-01-13,5.7
sw,2026-01-14,2026-01-23,5.6925
sw,2026-01-14,2026-03-18,5.5555
sw,2026-01-14,2026-04-16,5.514
sw,2026-01-14,2026-05-18,5.4955
sw,2026-01-14,2026-08-18,5.387
sw,2026-01-14,2026-11-18,5.296
sw,2026-01-14,2027-01-18,5.2305
sw,2026-01-14,2027-01-18,5.0955
sw,2026-01-14,2028-01-18,5.028
sw,2026-01-14,2029-01-17,4.931
sw,2026-01-14,2030-01-16,4.8685
sw,2026-01-14,2031-01-16,4.8305
sw,2026-01-14,2032-01-16,4.8135
sw,2026-01-14,2033-01-18,4.8045
sw,2026-01-14,2034-01-18,4.8025
sw,2026-01-14,2035-01-17,4.8045
sw,2026-01-14,2036-01-16,4.8105
sw,2026-01-14,2038-01-18,4.8295
sw,2026-01-14,2041-01-16,4.8525
sw,2026-01-14,2046-01-17,4.8385
sw,2026-01-14,2051-01-18,4.7635
sw,2026-01-14,2056-01-18,4.6735
sw,2026-01-14,2066-01-18,4.474
sw,2026-01-14,2076-01-16,4.274
