Type,StartDate,Maturity,MarketQuote
sp,2026-01-02,2026-01-05,0.0
sp,2026-01-05,2026-01-06,0.0
sp,2026-01-06,2026-01-13,-35.0
sp,2026-01-06,2026-02-06,-175.0
sp,2026-01-06,2026-04-06,-370.0
sp,2026-01-06,2026-04-06,-570.0
sp,2026-01-06,2026-07-06,-1300.0
sp,2026-01-06,2027-01-06,-2790.0
sw,2026-01-06,2027-01-06,2.035
sw,2026-01-06,2028-01-06,1.965
sw,2026-01-06,2029-01-08,1.925
sw,2026-01-06,2030-01-07,1.89
sw,2026-01-06,2031-01-06,1.875
sw,2026-01-06,2032-01-06,1.88
sw,2026-01-06,2033-01-06,1.885
sw,2026-01-06,2034-01-06,1.885
sw,2026-01-06,2035-01-08,1.88
sw,2026-01-06,2036-01-07,1.9
sw,2026-01-06,2037-01-06,1.9
sw,2026-01-06,2038-01-06,1.88
sw,2026-01-06,2041-01-07,1.84
sw,2026-01-06,2046-01-08,1.77
