Type,StartDate,Maturity,MarketQuote
dg,2025-12-08,2025-12-09,4.6
sw,2025-12-10,2025-12-19,4.5925
sw,2025-12-10,2026-01-14,4.4555
sw,2025-12-10,2026-02-12,4.414
sw,2025-12-10,2026-03-12,4.3955
sw,2025-12-10,2026-06-12,4.287
sw,2025-12-10,2026-09-14,4.196
sw,2025-12-10,2026-12-14,4.1305
sw,2025-12-10,2026-12-14,3.9955
sw,2025-12-10,2027-12-14,3.928
sw,2025-12-10,2028-12-13,3.831
sw,2025-12-10,2029-12-12,3.7685
sw,2025-12-10,2030-12-12,3.7305
sw,2025-12-10,2031-12-12,3.7135
sw,2025-12-10,2032-12-14,3.7045
sw,2025-12-10,2033-12-14,3.7025
sw,2025-12-10,2034-12-13,3.7045
sw,2025-12-10,2035-12-12,3.7105
sw,2025-12-10,2037-12-14,3.7295
sw,2025-12-10,2040-12-12,3.7525
sw,2025-12-10,2045-12-13,3.7385
sw,2025-12-10,2050-12-14,3.6635
sw,2025-12-10,2055-12-14,3.5735
sw,2025-12-10,2065-12-14,3.374
sw,2025-12-10,2075-12-12,3.174
