Type,StartDate,Maturity,MarketQuote
sp,2026-08-12,2026-08-13,0.0
sp,2026-08-13,2026-08-14,0.0
sp,2026-08-13,2026-08-20,-35.0
sp,2026-08-13,2026-09-14,-175.0
sp,2026-08-13,2026-11-13,-370.0
sp,2026-08-13,2026-11-13,-570.0
sp,2026-08-13,2027-02-15,-1300.0
sp,2026-08-13,2027-08-13,-2790.0
sw,2026-08-13,2027-08-13,2.035
sw,2026-08-13,2028-08-14,1.965
sw,2026-08-13,2029-08-13,1.925
sw,2026-08-13,2030-08-13,1.89
sw,2026-08-13,2031-08-13,1.875
sw,2026-08-13,2032-08-13,1.88
sw,2026-08-13,2033-08-15,1.885
sw,2026-08-13,2034-08-14,1.885
sw,2026-08-13,2035-08-13,1.88
sw,2026-08-13,2036-08-13,1.9
sw,2026-08-13,2037-08-13,1.9
sw,2026-08-13,2038-08-13,1.88
sw,2026-08-13,2041-08-13,1.84
sw,2026-08-13,2046-08-13,1.77
