Type,StartDate,Maturity,MarketQuote
dg,2025-12-31,2026-01-01,4.6
sw,2026-01-02,2026-01-13,4.5925
sw,2026-01-02,2026-03-04,4.4555
sw,2026-01-02,2026-04-06,4.414
sw,2026-01-02,2026-05-06,4.3955
sw,2026-01-02,2026-08-05,4.287
sw,2026-01-02,2026-11-04,4.196
sw,2026-01-02,2027-01-06,4.1305
sw,2026-01-02,2027-01-06,3.9955
sw,2026-01-02,2028-01-05,3.928
sw,2026-01-02,2029-01-04,3.831
sw,2026-01-02,2030-01-04,3.7685
sw,2026-01-02,2031-01-06,3.7305
sw,2026-01-02,2032-01-06,3.7135
sw,2026-01-02,2033-01-05,3.7045
sw,2026-01-02,2034-01-04,3.7025
sw,2026-01-02,2035-01-04,3.7045
sw,2026-01-02,2036-01-04,3.7105
sw,2026-01-02,2038-01-06,3.7295
sw,2026-01-02,2041-01-04,3.7525
sw,2026-01-02,2046-01-04,3.7385
sw,2026-01-02,2051-01-04,3.6635
sw,2026-01-02,2056-01-05,3.5735
sw,2026-01-02,2066-01-06,3.374
sw,2026-01-02,2076-01-06,3.174
