Type,StartDate,Maturity,MarketQuote
dg,2026-01-20,2026-01-21,4.6
sw,2026-01-21,2026-01-30,4.5925
sw,2026-01-21,2026-03-25,4.4555
sw,2026-01-21,2026-04-23,4.414
sw,2026-01-21,2026-05-25,4.3955
sw,2026-01-21,2026-08-25,4.287
sw,2026-01-21,2026-11-25,4.196
sw,2026-01-21,2027-01-25,4.1305
sw,2026-01-21,2027-01-25,3.9955
sw,2026-01-21,2028-01-25,3.928
sw,2026-01-21,2029-01-24,3.831
sw,2026-01-21,2030-01-23,3.7685
sw,2026-01-21,2031-01-23,3.7305
sw,2026-01-21,2032-01-23,3.7135
sw,2026-01-21,2033-01-25,3.7045
sw,2026-01-21,2034-01-25,3.7025
sw,2026-01-21,2035-01-24,3.7045
sw,2026-01-21,2036-01-23,3.7105
sw,2026-01-21,2038-01-25,3.7295
sw,2026-01-21,2041-01-23,3.7525
sw,2026-01-21,2046-01-24,3.7385
sw,2026-01-21,2051-01-25,3.6635
sw,2026-01-21,2056-01-25,3.5735
sw,2026-01-21,2066-01-25,3.374
sw,2026-01-21,2076-01-23,3.174
