Term,Rate,PriceDate,NBD,StartDate,EndDate,PayDate
0.00821917808219178,4.5991306300821275,20260116,0,20260116,20260119,20260119
0.03561643835616438,4.638065338134766,20260116,2,20260120,20260129,20260129
0.18356164383561643,4.506022930145264,20260116,2,20260120,20260320,20260324
0.26301369863013696,4.456615447998046,20260116,2,20260120,20260420,20260422
0.3452054794520548,4.429378509521484,20260116,2,20260120,20260520,20260522
0.6027397260273972,4.297242879867555,20260116,2,20260120,20260820,20260824
0.8547945205479452,4.185121536254882,20260116,2,20260120,20261120,20261124
1.0164383561643835,4.10749626159668,20260116,2,20260120,20270120,20270122
1.0164383561643835,3.9774824380874625,20260116,2,20260120,20270120,20270122
2.021917808219178,3.9041960239410396,20260116,2,20260120,20280120,20280124
3.0246575342465754,3.8064196705818176,20260116,2,20260120,20290122,20290124
4.021917808219178,3.7433395087718964,20260116,2,20260120,20300122,20300123
5.019178082191781,3.7047822177410135,20260116,2,20260120,20310121,20310122
6.019178082191781,3.6879121363163,20260116,2,20260120,20320120,20320122
7.027397260273973,3.6792030036449432,20260116,2,20260120,20330120,20330124
8.027397260273972,3.6780387461185464,20260116,2,20260120,20340120,20340124
9.027397260273972,3.681088969111443,20260116,2,20260120,20350122,20350124
10.024657534246575,3.6886401772499093,20260116,2,20260120,20360122,20360123
12.024657534246575,3.7119481265544887,20260116,2,20260120,20380120,20380122
15.03013698630137,3.740358948707581,20260116,2,20260120,20410122,20410123
20.035616438356165,3.720084883272648,20260116,2,20260120,20460122,20460124
25.03835616438356,3.6105254888534555,20260116,2,20260120,20510120,20510124
30.041095890410958,3.474824003875257,20260116,2,20260120,20560120,20560124
40.04383561643836,3.1616855934262276,20260116,2,20260120,20660120,20660122
50.04931506849315,2.8391790390014644,20260116,2,20260120,20760120,20760122
