Type,StartDate,Maturity,MarketQuote
dg,2025-12-04,2025-12-05,4.6
sw,2025-12-08,2025-12-17,4.5925
sw,2025-12-08,2026-01-12,4.4555
sw,2025-12-08,2026-02-11,4.414
sw,2025-12-08,2026-03-11,4.3955
sw,2025-12-08,2026-06-10,4.287
sw,2025-12-08,2026-09-10,4.196
sw,2025-12-08,2026-12-10,4.1305
sw,2025-12-08,2026-12-10,3.9955
sw,2025-12-08,2027-12-10,3.928
sw,2025-12-08,2028-12-12,3.831
sw,2025-12-08,2029-12-12,3.7685
sw,2025-12-08,2030-12-11,3.7305
sw,2025-12-08,2031-12-10,3.7135
sw,2025-12-08,2032-12-10,3.7045
sw,2025-12-08,2033-12-12,3.7025
sw,2025-12-08,2034-12-12,3.7045
sw,2025-12-08,2035-12-12,3.7105
sw,2025-12-08,2037-12-10,3.7295
sw,2025-12-08,2040-12-12,3.7525
sw,2025-12-08,2045-12-12,3.7385
sw,2025-12-08,2050-12-12,3.6635
sw,2025-12-08,2055-12-10,3.5735
sw,2025-12-08,2065-12-10,3.374
sw,2025-12-08,2075-12-11,3.174
