Type,StartDate,Maturity,MarketQuote
sp,2026-01-27,2026-01-28,0.0
sp,2026-01-28,2026-01-29,0.0
sp,2026-01-29,2026-02-05,-35.0
sp,2026-01-29,2026-03-02,-175.0
sp,2026-01-29,2026-04-29,-370.0
sp,2026-01-29,2026-04-29,-570.0
sp,2026-01-29,2026-07-29,-1300.0
sp,2026-01-29,2027-01-29,-2790.0
sw,2026-01-29,2027-01-29,2.035
sw,2026-01-29,2028-01-31,1.965
sw,2026-01-29,2029-01-29,1.925
sw,2026-01-29,2030-01-29,1.89
sw,2026-01-29,2031-01-29,1.875
sw,2026-01-29,2032-01-29,1.88
sw,2026-01-29,2033-01-31,1.885
sw,2026-01-29,2034-01-30,1.885
sw,2026-01-29,2035-01-29,1.88
sw,2026-01-29,2036-01-29,1.9
sw,2026-01-29,2037-01-29,1.9
sw,2026-01-29,2038-01-29,1.88
sw,2026-01-29,2041-01-29,1.84
sw,2026-01-29,2046-01-29,1.77
