index,Leg1CF,Leg2CF,V(xt(-0.1)),V(xt(0)),V(xt(0.4)),Leg1Rate(xt(-0.1)),Leg1Rate(xt(0)),Leg1Rate(xt(0.4)),Leg2Rate(xt(-0.1)),Leg2Rate(xt(0)),Leg2Rate(xt(0.4)),Leg1_Payoff_FwdMsr,Leg2_Payoff_FwdMsr,DiscountFactor,ResultPrice,Leg1_DiscCurveName,Leg1_EstCurveName,Leg2_DiscCurveName,Leg2_EstCurveName,OptionDeclare,OptionPayment,dPdx,dPdy,DeltaTerm,DeltaPV01,DeltaPV01Gamma,VegaT1,VegaT2,VegaHW1,VegaFRTBHW1,PV01Term,PV01
20400329,54.6,54.7144,6277.44,398.44,-3130.58,-0.0777,0.0215,0.4385,-0.0777,0.0215,0.4385,54.6,54.7168,0.68,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20400629,55.2,51.6383,6078.59,385.92,-2108.42,-0.0778,0.0213,0.4381,-0.0778,0.0213,0.4381,55.2,51.6407,0.6763,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20400830,0.0,0.0,5856.44,374.2,-1066.84,-0.0779,0.0213,0.4382,-0.0779,0.0213,0.4382,0.0,0.0,0.6738,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20400928,54.6,50.7353,5871.14,370.61,-1068.64,-0.0779,0.0212,0.4379,-0.0779,0.0212,0.4379,54.6,50.7376,0.6727,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20401001,0.0,0.0,5621.51,366.38,-1068.83,-0.0779,0.0212,0.4382,-0.0779,0.0212,0.4382,0.0,0.0,0.6726,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20401231,56.4,52.0584,5665.68,355.35,-4122.47,-0.0781,0.0211,0.437,-0.0781,0.0211,0.437,56.4,52.0608,0.6691,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20410329,52.8,48.3987,5446.86,340.11,-3077.53,-0.0782,0.0209,0.4376,-0.0782,0.0209,0.4376,52.8,48.4009,0.6657,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20410628,54.6,49.7204,5243.85,324.53,-2095.83,-0.0783,0.0208,0.4382,-0.0783,0.0208,0.4382,54.6,49.7227,0.6622,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20410828,0.0,0.0,5017.71,312.55,-1067.57,-0.0784,0.0207,0.4376,-0.0784,0.0207,0.4376,0.0,0.0,0.6599,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20410930,56.4,51.0087,5031.77,309.0,-1069.58,-0.0785,0.0207,0.4373,-0.0785,0.0207,0.4373,56.4,51.0113,0.6587,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20411230,54.6,49.0327,4807.92,294.15,-4115.75,-0.0786,0.0205,0.4372,-0.0786,0.0205,0.4372,54.6,49.035,0.6553,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20420331,54.6,48.6944,4590.14,278.92,-3107.07,-0.0787,0.0204,0.437,-0.0787,0.0204,0.437,54.6,48.6968,0.652,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20420630,54.6,48.3562,4370.19,263.5,-2090.67,-0.0789,0.0203,0.4371,-0.0789,0.0203,0.4371,54.6,48.3585,0.6487,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20420901,0.0,0.0,4138.46,251.15,-1063.98,-0.079,0.0202,0.4368,-0.079,0.0202,0.4368,0.0,0.0,0.6464,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20420926,52.8,46.4344,4147.08,248.97,-1065.45,-0.079,0.0201,0.4367,-0.079,0.0201,0.4367,52.8,46.4368,0.6455,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20421001,0.0,0.0,3903.36,242.19,-1065.75,-0.079,0.0201,0.437,-0.079,0.0201,0.437,0.0,0.0,0.6453,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20421229,56.4,49.2631,3932.24,234.7,-4124.23,-0.0791,0.02,0.4366,-0.0791,0.02,0.4366,56.4,49.2655,0.6422,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20430330,54.6,47.3415,3697.44,219.7,-3082.43,-0.0793,0.0199,0.4367,-0.0793,0.0199,0.4367,54.6,47.3439,0.639,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20430629,54.6,47.0028,3468.84,204.65,-2067.07,-0.0794,0.0197,0.4365,-0.0794,0.0197,0.4365,54.6,47.0052,0.6359,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20430827,0.0,0.0,3229.68,192.35,-1040.7,-0.0795,0.0196,0.4364,-0.0795,0.0196,0.4364,0.0,0.0,0.6338,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20430929,55.2,47.1773,3238.39,189.99,-1042.54,-0.0795,0.0196,0.4361,-0.0795,0.0196,0.4361,55.2,47.1798,0.6327,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20431229,54.6,46.3232,3002.67,176.54,-4095.89,-0.0797,0.0194,0.436,-0.0797,0.0194,0.436,54.6,46.3256,0.6296,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20440329,54.6,45.9851,2767.55,162.61,-3089.26,-0.0798,0.0193,0.4361,-0.0798,0.0193,0.4361,54.6,45.9874,0.6266,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20440629,55.2,46.1479,2530.48,148.29,-2075.36,-0.0799,0.0192,0.4359,-0.0799,0.0192,0.4359,55.2,46.1503,0.6236,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20440901,0.0,0.0,2283.32,135.64,-1039.5,-0.08,0.0191,0.4356,-0.08,0.0191,0.4356,0.0,0.0,0.6215,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20440929,55.2,45.8023,2288.43,134.4,-1041.02,-0.0801,0.019,0.4355,-0.0801,0.019,0.4355,55.2,45.8047,0.6206,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20441229,54.6,44.9632,2044.0,122.15,-4070.21,-0.0806,0.0185,0.4347,-0.0806,0.0185,0.4347,54.6,44.9656,0.6176,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20450329,54.0,43.084,1799.87,109.51,-3063.94,-0.082,0.0171,0.4336,-0.082,0.0171,0.4336,54.0,43.0862,0.6148,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20450629,55.2,40.5052,1555.16,95.53,-2063.4,-0.0821,0.0169,0.4334,-0.0821,0.0169,0.4334,55.2,40.5077,0.6122,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20450901,0.0,0.0,1296.92,79.1,-1033.34,-0.0823,0.0168,0.433,-0.0823,0.0168,0.433,0.0,0.0,0.6104,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20450929,55.2,40.0542,1299.59,78.76,-1034.68,-0.0823,0.0167,0.433,-0.0823,0.0167,0.433,55.2,40.0567,0.6096,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20451229,54.6,39.1743,1041.71,63.91,-4044.27,-0.0825,0.0165,0.4325,-0.0825,0.0165,0.4325,54.6,39.1767,0.6071,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20460329,54.0,38.3091,784.45,48.7,-3042.82,-0.0827,0.0164,0.4328,-0.0827,0.0164,0.4328,54.0,38.3113,0.6046,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20460629,55.2,38.7161,528.02,33.16,-2047.07,-0.0828,0.0162,0.4324,-0.0828,0.0162,0.4324,55.2,38.7186,0.6021,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20460928,54.6,37.8509,263.65,16.75,-1020.88,-0.083,0.016,0.4322,-0.083,0.016,0.4322,54.6,37.8532,0.5997,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
