index,Leg1CF,Leg2CF,V(xt(-0.1)),V(xt(0)),V(xt(0.4)),Leg1Rate(xt(-0.1)),Leg1Rate(xt(0)),Leg1Rate(xt(0.4)),Leg2Rate(xt(-0.1)),Leg2Rate(xt(0)),Leg2Rate(xt(0.4)),Leg1_Payoff_FwdMsr,Leg2_Payoff_FwdMsr,DiscountFactor,ResultPrice,Leg1_DiscCurveName,Leg1_EstCurveName,Leg2_DiscCurveName,Leg2_EstCurveName,OptionDeclare,OptionPayment,dPdx,dPdy,DeltaTerm,DeltaPV01,DeltaPV01Gamma,VegaT1,VegaT2,VegaHW1,VegaFRTBHW1,PV01Term,PV01
20280329,54.6,58.9899,13460.81,711.46,-3133.46,-0.0737,0.0255,0.4429,-0.0737,0.0255,0.4429,54.6,58.9912,0.9256,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,10.0082,-0.3295,-0.659,,,,,10.0082,-0.3295
20280629,55.2,61.7792,13338.8,702.06,-2108.62,-0.0737,0.0256,0.443,-0.0737,0.0256,0.443,55.2,61.7804,0.9197,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,12.011,-0.5167,-1.0334,,,,,12.011,-0.5167
20280901,0.0,0.0,13178.63,699.22,-1056.72,-0.0737,0.0256,0.4427,-0.0737,0.0256,0.4427,0.0,0.0,0.9156,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,15.0137,-0.784,-1.5681,,,,,15.0137,-0.784
20280929,55.2,61.883,13215.35,695.17,-1058.79,-0.0737,0.0256,0.4428,-0.0737,0.0256,0.4428,55.2,61.8843,0.9138,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,20.0192,-2.1934,-4.3868,,,,,20.0192,-2.1934
20281229,54.6,61.3104,13089.57,688.78,-4163.85,-0.0737,0.0256,0.4425,-0.0737,0.0256,0.4425,54.6,61.3116,0.908,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,25.0247,-0.6914,-1.3828,,,,,25.0247,-0.6914
20290329,54.0,60.5937,12964.06,682.52,-3145.39,-0.0738,0.0254,0.4428,-0.0738,0.0254,0.4428,54.0,60.5949,0.9024,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,30.0219,0.0,0.0,,,,,30.0219,0.0
20290629,55.2,61.6098,12842.13,675.96,-2130.33,-0.0738,0.0255,0.4426,-0.0738,0.0255,0.4426,55.2,61.6111,0.8966,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20290830,0.0,0.0,12675.9,673.72,-1078.52,-0.0738,0.0255,0.4429,-0.0738,0.0255,0.4429,0.0,0.0,0.8928,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20290928,54.6,60.9744,12712.36,669.75,-1080.7,-0.0738,0.0255,0.4426,-0.0738,0.0255,0.4426,54.6,60.9757,0.891,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20291001,0.0,0.0,12474.97,675.72,-1080.93,-0.0738,0.0255,0.4429,-0.0738,0.0255,0.4429,0.0,0.0,0.8908,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20291231,56.4,63.0221,12587.76,663.41,-4168.01,-0.0737,0.0256,0.442,-0.0737,0.0256,0.442,56.4,63.0233,0.8851,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20300329,52.8,59.3776,12447.09,658.17,-3114.52,-0.0732,0.0261,0.4433,-0.0732,0.0261,0.4433,52.8,59.3787,0.8797,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20300628,54.6,62.4889,12326.51,652.77,-2123.56,-0.0731,0.0261,0.4441,-0.0731,0.0261,0.4441,54.6,62.4901,0.874,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20300828,0.0,0.0,12161.37,652.89,-1082.21,-0.0731,0.0262,0.4437,-0.0731,0.0262,0.4437,0.0,0.0,0.8702,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20300930,56.4,64.7308,12201.92,648.8,-1084.76,-0.0731,0.0262,0.4434,-0.0731,0.0262,0.4434,56.4,64.7321,0.8682,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20301230,54.6,62.8272,12064.85,646.04,-4138.35,-0.073,0.0263,0.4435,-0.073,0.0263,0.4435,54.6,62.8284,0.8626,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20310331,54.6,62.9964,11934.76,643.29,-3118.8,-0.0729,0.0263,0.4436,-0.0729,0.0263,0.4436,54.6,62.9976,0.8569,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20310630,54.6,63.1702,11803.82,640.99,-2089.57,-0.0729,0.0264,0.4439,-0.0729,0.0264,0.4439,54.6,63.1714,0.8513,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20310901,0.0,0.0,11638.97,642.48,-1047.51,-0.0728,0.0265,0.4437,-0.0728,0.0265,0.4437,0.0,0.0,0.8475,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20310929,54.6,63.3407,11672.11,639.43,-1049.63,-0.0728,0.0265,0.4437,-0.0728,0.0265,0.4437,54.6,63.3419,0.8458,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20311229,54.6,63.5046,11539.45,638.45,-4162.71,-0.0728,0.0265,0.4437,-0.0728,0.0265,0.4437,54.6,63.5059,0.8402,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20320329,54.6,63.5444,11405.72,637.75,-3142.81,-0.0729,0.0264,0.4439,-0.0729,0.0264,0.4439,54.6,63.5457,0.8347,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20320629,55.2,64.0335,11271.67,637.23,-2113.44,-0.0728,0.0265,0.444,-0.0728,0.0265,0.444,55.2,64.0348,0.8292,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20320830,0.0,0.0,11099.88,639.96,-1059.01,-0.0728,0.0265,0.444,-0.0728,0.0265,0.444,0.0,0.0,0.8255,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20320929,55.2,64.1696,11133.76,637.1,-1061.31,-0.0728,0.0265,0.4438,-0.0728,0.0265,0.4438,55.2,64.1709,0.8237,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20321229,54.6,63.6036,10993.61,637.51,-4151.16,-0.0728,0.0265,0.4435,-0.0728,0.0265,0.4435,54.6,63.6049,0.8183,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20330329,54.0,62.9099,10853.8,638.05,-3130.73,-0.0729,0.0264,0.4439,-0.0729,0.0264,0.4439,54.0,62.9111,0.813,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20330629,55.2,64.0373,10717.19,636.32,-2113.45,-0.0728,0.0264,0.444,-0.0728,0.0264,0.444,55.2,64.0387,0.8076,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20330829,0.0,0.0,10540.76,636.73,-1058.91,-0.0728,0.0265,0.444,-0.0728,0.0265,0.444,0.0,0.0,0.8041,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20330929,55.2,64.1409,10573.97,632.05,-1061.28,-0.0728,0.0265,0.4437,-0.0728,0.0265,0.4437,55.2,64.1426,0.8023,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20331229,54.6,63.5433,10428.44,625.43,-4154.7,-0.0726,0.0267,0.4437,-0.0726,0.0267,0.4437,54.6,63.5452,0.797,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20340329,54.0,63.2655,10283.66,615.65,-3134.47,-0.0722,0.0271,0.4447,-0.0722,0.0271,0.4447,54.0,63.2677,0.7918,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20340629,55.2,65.7863,10143.73,605.18,-2117.19,-0.0721,0.0272,0.4447,-0.0721,0.0272,0.4447,55.2,65.7888,0.7864,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20340829,0.0,0.0,9966.58,603.02,-1060.85,-0.0721,0.0272,0.4448,-0.0721,0.0272,0.4448,0.0,0.0,0.7829,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20340929,55.2,65.9621,9998.56,596.75,-1063.29,-0.0721,0.0272,0.4446,-0.0721,0.0272,0.4446,55.2,65.9645,0.7811,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20341229,54.6,65.4155,9851.21,589.45,-4178.83,-0.0721,0.0272,0.4443,-0.0721,0.0272,0.4443,54.6,65.4179,0.7758,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20350329,54.0,64.5899,9704.11,582.07,-3157.15,-0.0723,0.0269,0.4445,-0.0723,0.0269,0.4445,54.0,64.5921,0.7706,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20350629,55.2,65.4021,9559.48,574.09,-2138.53,-0.0723,0.027,0.4443,-0.0723,0.027,0.4443,55.2,65.4046,0.7654,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20350830,0.0,0.0,9378.88,572.17,-1082.84,-0.0723,0.027,0.4446,-0.0723,0.027,0.4446,0.0,0.0,0.7619,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20350928,54.6,64.8101,9406.86,566.71,-1085.16,-0.0723,0.027,0.4444,-0.0723,0.027,0.4444,54.6,64.8124,0.7603,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20351001,0.0,0.0,9172.33,576.37,-1085.4,-0.0722,0.027,0.4446,-0.0722,0.027,0.4446,0.0,0.0,0.7602,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20351231,56.4,67.0712,9258.38,559.6,-4180.63,-0.0722,0.0271,0.4444,-0.0722,0.0271,0.4444,56.4,67.0737,0.7551,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20360331,54.6,65.0553,9097.96,553.23,-3124.79,-0.0722,0.0271,0.4445,-0.0722,0.0271,0.4445,54.6,65.0576,0.75,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20360630,54.6,65.1759,8944.12,546.74,-2093.73,-0.0721,0.0272,0.4448,-0.0721,0.0272,0.4448,54.6,65.1782,0.745,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20360901,0.0,0.0,8763.77,545.97,-1049.61,-0.0721,0.0272,0.4446,-0.0721,0.0272,0.4446,0.0,0.0,0.7415,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20360929,54.6,65.2996,8789.1,541.13,-1051.79,-0.0721,0.0272,0.4446,-0.0721,0.0272,0.4446,54.6,65.302,0.7399,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20361229,54.6,65.4171,8632.74,536.38,-4143.4,-0.0728,0.0265,0.4437,-0.0728,0.0265,0.4437,54.6,65.4195,0.7349,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20370330,54.6,63.4841,8473.35,531.4,-3121.2,-0.075,0.0243,0.4415,-0.075,0.0243,0.4415,54.6,63.4865,0.7301,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20370629,54.6,57.9894,8306.03,524.24,-2090.4,-0.075,0.0242,0.4415,-0.075,0.0242,0.4415,54.6,57.9918,0.7257,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20370827,0.0,0.0,8107.19,517.53,-1052.68,-0.0751,0.0241,0.4414,-0.0751,0.0241,0.4414,0.0,0.0,0.7229,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20370929,55.2,58.4367,8132.54,512.08,-1054.98,-0.0751,0.0241,0.4411,-0.0751,0.0241,0.4411,55.2,58.4391,0.7213,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20371229,54.6,57.6107,7953.64,500.58,-4127.98,-0.0752,0.024,0.4408,-0.0752,0.024,0.4408,54.6,57.6131,0.717,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20380329,54.0,56.791,7774.81,488.76,-3112.18,-0.0753,0.024,0.4412,-0.0753,0.024,0.4412,54.0,56.7933,0.7128,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20380629,55.2,57.867,7598.22,476.45,-2100.28,-0.0753,0.0239,0.4411,-0.0753,0.0239,0.4411,55.2,57.8694,0.7085,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20380827,0.0,0.0,7391.56,469.78,-1051.87,-0.0754,0.0238,0.4416,-0.0754,0.0238,0.4416,0.0,0.0,0.7058,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20380929,55.2,57.675,7414.44,464.79,-1054.14,-0.0754,0.0238,0.4408,-0.0754,0.0238,0.4408,55.2,57.6774,0.7043,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20381229,54.6,56.8573,7227.98,453.83,-4124.98,-0.0755,0.0237,0.4405,-0.0755,0.0237,0.4405,54.6,56.8597,0.7001,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20390329,54.0,56.0459,7041.63,442.55,-3109.76,-0.0755,0.0237,0.4409,-0.0755,0.0237,0.4409,54.0,56.0482,0.6961,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20390629,55.2,57.1053,6857.34,430.84,-2098.52,-0.0756,0.0236,0.4408,-0.0756,0.0236,0.4408,55.2,57.1077,0.6919,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20390901,0.0,0.0,6648.52,423.56,-1051.4,-0.0757,0.0235,0.4405,-0.0757,0.0235,0.4405,0.0,0.0,0.6891,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,OptionExerciseDeclare,,-88057.2497,0,0.0,0.0,0.0,,,,,,
20390929,55.2,56.9133,6665.8,419.76,-1053.3,-0.0757,0.0235,0.4405,-0.0757,0.0235,0.4405,55.2,56.9157,0.6878,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,OptionExercisePayment,-88057.2497,0,0.0,0.0,0.0,,,,,,
20391229,54.6,56.104,6471.63,409.35,-4145.06,-0.0763,0.0229,0.4398,-0.0763,0.0229,0.4398,54.6,56.1063,0.6838,885.0425,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,KRW IRS ZeroCurve,,,-88057.2497,0,0.0,0.0,0.0,,,,,,
