Type,StartDate,Maturity,MarketQuote
sp,2025-12-30,2025-12-31,0.0
sp,2025-12-31,2026-01-01,0.0
sp,2026-01-01,2026-01-08,-35.0
sp,2026-01-01,2026-02-02,-175.0
sp,2026-01-01,2026-04-01,-370.0
sp,2026-01-01,2026-04-01,-570.0
sp,2026-01-01,2026-07-01,-1300.0
sp,2026-01-01,2027-01-01,-2790.0
sw,2026-01-01,2027-01-01,2.035
sw,2026-01-01,2028-01-03,1.965
sw,2026-01-01,2029-01-01,1.925
sw,2026-01-01,2030-01-01,1.89
sw,2026-01-01,2031-01-01,1.875
sw,2026-01-01,2032-01-01,1.88
sw,2026-01-01,2033-01-03,1.885
sw,2026-01-01,2034-01-02,1.885
sw,2026-01-01,2035-01-01,1.88
sw,2026-01-01,2036-01-01,1.9
sw,2026-01-01,2037-01-01,1.9
sw,2026-01-01,2038-01-01,1.88
sw,2026-01-01,2041-01-01,1.84
sw,2026-01-01,2046-01-01,1.77
